,Title,Published_date,Views,Likes,Comments,Month
0,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,17915,1052,65,Jun
1,Can Machine Learning Fix My Baseball Swing?,2022-06-10,5761,295,67,Jun
2,Every Data Scientist... (funny!),2022-05-24,10825,659,141,May
3,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15010,419,65,May
4,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,30155,924,81,Apr
5,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,13519,607,96,Mar
6,Can Data Defeat This Deceitful OpenSea NFT Scam?,2022-03-03,4284,180,51,Mar
7,When a PM Joins the Data Team... (funny!) - Ft @Luke Barousse,2022-02-21,8760,428,141,Feb
8,What Professional Data Scientists ACTUALLY Do,2022-02-14,71950,2511,172,Feb
9,Can You Analyze My Data Better Than I Can?,2022-01-31,5862,299,64,Jan
10,Giving Back to My Most Engaged Subscribers!,2022-01-28,2151,117,89,Jan
11,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,9577,505,64,Jan
12,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,7699,403,80,Jan
13,Should  @Luke Barousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,5522,151,32,Jan
14,The Only Data Science Explanation You Need,2022-01-10,23758,1370,159,Jan
15,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,13318,626,150,Jan
16,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,234517,11029,439,Dec
17,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,6902,301,56,Dec
18,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,5437,367,21,Dec
19,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,20960,1046,151,Dec
20,Why Is Data Engineering So HOT Right Now?,2021-11-26,25792,978,135,Nov
21,Is Data Science Dying?,2021-11-19,93594,3063,321,Nov
